comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
DE032N0:DE165C0	0.467	1	1	1	1	2	3	0	1	3	1	3	2	2	2	0.589	0.674	0.359	0.166	0.358	0.194	0.0	0.715	0.353	0.216	0.305	0.395	0.346	0.381
DE032N0:DE166C0	0.548	1	1	1	1	3	2	2	1	2	1	2	0	1	2	0.188	1.0	0.382	0.101	0.49	0.433	0.271	1.0	0.488	1.0	0.481	0.0	0.916	0.122
DE032N0:DE194C0	0.442	2	0	1	2	2	2	2	1	1	1	0	2	1	1	0.348	0.0	1.0	0.236	0.574	0.389	0.337	1.0	0.438	1.0	0.0	0.206	0.387	0.062
DE032N0:DE205C0	0.458	1	2	1	1	1	3	1	1	4	1	1	1	2	2	0.071	0.358	0.405	0.116	0.574	0.219	0.19	0.291	0.365	0.708	0.161	0.841	0.384	0.306
DE032N0:DE216C0	0.574	2	1	1	1	3	3	1	1	3	1	1	2	3	3	0.234	0.85	0.146	1.0	0.154	0.286	0.783	0.638	0.136	0.24	0.351	0.464	0.261	0.356
DE032N0:DE221C0	0.606	1	1	2	0	2	3	2	1	2	1	2	1	2	3	0.815	0.547	0.523	0.0	0.43	0.389	0.783	0.605	0.775	1.0	0.708	0.169	0.293	0.204
DE032N0:DE233C0	0.537	1	1	1	1	2	2	1	0	2	1	2	2	3	3	0.188	1.0	0.899	0.834	0.142	0.12	0.235	0.0	0.732	1.0	0.543	0.337	0.297	0.164
DE032N0:DE239C0	0.638	1	2	1	2	1	2	1	1	2	1	1	0	3	2	0.188	0.731	0.711	0.552	0.574	0.433	0.783	1.0	0.378	1.0	0.515	0.0	0.297	0.319
DE032N0:DE241C0	0.487	1	1	1	1	2	2	1	1	2	1	3	1	2	3	0.188	0.327	0.379	0.834	0.154	0.433	0.543	0.198	0.185	0.76	0.436	0.159	0.317	0.397
DE032N0:DE267C0	0.435	1	1	1	1	3	2	2	2	2	1	2	1	2	2	0.812	0.255	0.681	0.171	0.262	0.492	0.217	0.44	0.107	0.059	0.206	0.841	0.226	0.314
