comparison	relatedness	1:max_ibd	2:max_ibd	3:max_ibd	4:max_ibd	5:max_ibd	6:max_ibd	7:max_ibd	8:max_ibd	9:max_ibd	10:max_ibd	11:max_ibd	12:max_ibd	13:max_ibd	14:max_ibd	1:n_ibd	2:n_ibd	3:n_ibd	4:n_ibd	5:n_ibd	6:n_ibd	7:n_ibd	8:n_ibd	9:n_ibd	10:n_ibd	11:n_ibd	12:n_ibd	13:n_ibd	14:n_ibd
HI0143.F2:HI0196.F2	0.514	0	1	1	1	1	2	1	1	0	1	1	1	2	3	0.0	0.188	1.0	0.418	1.0	0.3	0.356	0.872	0.0	0.513	0.77	0.486	0.463	0.21
HI0143.F2:HI0197.F2	0.571	1	1	1	1	1	3	2	1	0	1	1	1	1	1	1.0	0.873	0.172	0.418	1.0	0.208	0.356	0.872	0.0	0.713	1.0	0.545	0.617	0.275
HI0143.F2:HI0198.F2	0.435	1	1	2	1	0	3	2	2	1	1	3	1	0	4	1.0	0.873	0.487	0.418	0.0	0.352	0.356	0.721	0.134	0.454	0.451	0.08	0.0	0.271
HI0143.F2:HI0199.F2	0.433	1	2	1	2	1	2	2	1	1	1	1	1	0	3	0.292	0.508	0.62	0.448	0.175	0.21	0.284	0.872	1.0	0.25	1.0	0.162	0.0	0.112
HI0143.F2:HI0200.F2	0.607	1	0	1	2	1	2	2	2	2	1	2	2	1	3	0.155	0.0	0.463	0.582	1.0	0.352	0.356	0.09	0.36	1.0	0.301	0.711	0.92	0.275
HI0143.F2:HI0203.F2	0.672	1	0	1	3	1	3	2	1	2	1	2	2	1	3	1.0	0.0	0.719	0.418	0.663	0.352	0.501	0.716	0.138	1.0	0.18	0.615	0.92	0.313
HI0143.F2:HI0206.F2	0.481	1	1	0	1	2	1	2	1	1	2	0	1	2	2	0.543	1.0	0.0	0.582	0.098	0.349	0.36	0.128	1.0	0.527	0.0	0.915	0.277	0.275
HI0143.F2:HI0207.F2	0.598	1	1	2	1	1	3	1	3	0	1	1	1	2	3	1.0	0.611	0.485	0.117	0.55	0.3	0.284	0.336	0.0	0.527	1.0	1.0	0.79	0.154
HI0143.F2:HI0208.F2	0.632	1	1	1	1	2	2	3	3	1	2	2	3	1	4	1.0	0.526	1.0	0.418	0.375	0.3	0.304	0.245	0.35	0.507	0.255	0.198	0.92	0.31
HI0143.F2:HI0211.F2	0.489	1	0	1	2	1	2	2	1	1	1	1	1	3	3	1.0	0.0	0.33	0.141	1.0	0.288	0.197	0.539	0.197	0.075	0.847	1.0	0.348	0.189
